Artist,Date,City,Venue, Attendance ,Year,Longitude,Latitude
BTS,4/1/17,"Anaheim, California",Honda Center,,2017,-117.8897,33.8361
BTS,4/2/17,"Anaheim, California",Honda Center,,2017,-117.8897,33.8361
ATEEZ,11/7/22,"Anaheim, California",Honda Center,,2022,-117.8897,33.8361
ATEEZ,11/8/22,"Anaheim, California",Honda Center,,2022,-117.8897,33.8361
ENHYPEN,10/2/22,"Anaheim, California",Honda Center,"19,825",2022,-117.8897,33.8361
ENHYPEN,10/3/22,"Anaheim, California",Honda Center,,2022,-117.8897,33.8361
Stray Kids,7/19/22,"Anaheim, California",Honda Center,"20,025",2022,-117.8897,33.8361
Stray Kids,7/20/22,"Anaheim, California",Honda Center,,2022,-117.8897,33.8361
(G)IDLE,9/10/24,"Anaheim, California",Honda Center,,2024,-117.8897,33.8361
ENHYPEN,4/24/24,"Anaheim, California",Honda Center,"11,108",2024,-117.8897,33.8361
Kiss Of Life,12/8/24,"Anaheim, California",House of Blues Anaheim,,2024,-117.8897,33.8361
ATEEZ,7/28/24,"Arlington, Texas",Globe Life Field,,2024,-97.1228,32.705
BLITZERS,2/11/22,Atlanta,Center Stage Theatre,,2022,-84.3903,33.7569
ENHYPEN,10/11/22,Atlanta,Gas South Theatre,"8,515",2022,-84.3903,33.7569
TXT,7/12/22,Atlanta,Fox Theatre,"4,509",2022,-84.3903,33.7569
Wanna One,7/2/18,Atlanta,Infinite Energy Arena,,2018,-84.3903,33.7569
ATEEZ,3/22/19,Atlanta,Center Stage Theatre,,2019,-84.3903,33.7569
BLACKPINK,5/5/19,Atlanta,Infinite Energy Arena,"9,180",2019,-84.3903,33.7569
Jay Park,11/18/19,Atlanta,Tabernacle,,2019,-84.3903,33.7569
ONEUS,11/8/19,Atlanta,Center Stage Theatre,,2019,-84.3903,33.7569
Tiffany,11/13/19,Atlanta,Buckhead Theatre,,2019,-84.3903,33.7569
EVERGLOW,3/8/20,Atlanta,Center Stage Theatre,,2020,-84.3903,33.7569
Stray Kids,1/31/20,Atlanta,Fox Theatre,,2020,-84.3903,33.7569
(G)IDLE,8/7/22,Atlanta,Cobb Energy Centre,,2022,-84.3903,33.7569
ATEEZ,1/20/22,Atlanta,Gas South Theatre,"7,764",2022,-84.3903,33.7569
ATEEZ,11/22/22,Atlanta,State Farm Arena,,2022,-84.3903,33.7569
BLACKPINK,11/2/22,Atlanta,State Farm Arena,"23,434",2022,-84.3903,33.7569
BLACKPINK,11/3/22,Atlanta,State Farm Arena,,2022,-84.3903,33.7569
Brave Girls,7/14/22,Atlanta,Heaven @ The Masquerade,,2022,-84.3903,33.7569
CIX,5/2/22,Atlanta,Buckhead Theatre,,2022,-84.3903,33.7569
DKB,6/14/22,Atlanta,The Center Stage,,2022,-84.3903,33.7569
Itzy,11/5/22,Atlanta,Fox Theatre,,2022,-84.3903,33.7569
KARD,8/14/22,Atlanta,Coca Cola Roxy,,2022,-84.3903,33.7569
Kim Woo Jin,11/8/22,Atlanta,The Loft at Center Stage,,2022,-84.3903,33.7569
LOONA,8/23/22,Atlanta,Coca Cola Roxy,,2022,-84.3903,33.7569
Monsta X,6/4/22,Atlanta,Gas South Theatre,,2022,-84.3903,33.7569
OMEGA X,10/6/22,Atlanta,Center Stage Theatre,,2022,-84.3903,33.7569
ONEUS,2/23/22,Atlanta,Center Stage Theatre,,2022,-84.3903,33.7569
P1Harmony,5/8/22,Atlanta,Coca Cola Roxy,,2022,-84.3903,33.7569
Sunmi,9/8/22,Atlanta,The Tabernacle,,2022,-84.3903,33.7569
THE BOYZ,6/5/22,Atlanta,Coca Cola Roxy,,2022,-84.3903,33.7569
TWICE,2/24/22,Atlanta,State Farm Arena,"11,596",2022,-84.3903,33.7569
TWICE,2/24/22,Atlanta,State Farm Arena,"11,596",2022,-84.3903,33.7569
WEi,9/23/22,Atlanta,The Loft,,2022,-84.3903,33.7569
(G)IDLE,8/15/23,Atlanta,Fox Theatre,,2023,-84.3903,33.7569
Aespa,8/25/23,Atlanta,Fox Theatre,,2023,-84.3903,33.7569
Chuu,12/15/23,Atlanta,CocaCola Roxy,,2023,-84.3903,33.7569
CRAVITY,6/22/23,Atlanta,Heaven at the Masquerade,,2023,-84.3903,33.7569
EVERGLOW,11/6/23,Atlanta,Tabernacle,,2023,-84.3903,33.7569
Loossemble,9/22/23,Atlanta,Gas South Arena,,2023,-84.3903,33.7569
N.Flying,1/19/23,Atlanta,Buckhead Theatre,,2023,-84.3903,33.7569
NCT 127,1/13/23,Atlanta,State Farm Arena,,2023,-84.3903,33.7569
NCT 127,1/13/23,Atlanta,State Farm Arena,,2023,-84.3903,33.7569
NCT Dream,4/9/23,Atlanta,State Farm Arena,,2023,-84.3903,33.7569
NMIXX,5/12/23,Atlanta,CocaCola Roxy,,2023,-84.3903,33.7569
ONEUS,1/16/23,Atlanta,Coca Cola Roxy,,2023,-84.3903,33.7569
OnlyOneOf,4/6/23,Atlanta,Heaven @ The Masquerade,,2023,-84.3903,33.7569
P1Harmony,2/1/23,Atlanta,CocaCola Roxy,,2023,-84.3903,33.7569
pH1,1/30/23,Atlanta,Buckhead Theater,,2023,-84.3903,33.7569
PIXY,5/7/23,Atlanta,Center Stage,,2023,-84.3903,33.7569
Stray Kids,3/22/23,Atlanta,State Farm Arena,"23,019",2023,-84.3903,33.7569
Stray Kids,3/23/23,Atlanta,State Farm Arena,,2023,-84.3903,33.7569
TRI.BE,6/8/23,Atlanta,Center Stage (The Loft),,2023,-84.3903,33.7569
tripleS,9/24/23,Atlanta,Tabernacle,,2023,-84.3903,33.7569
TWICE,7/9/23,Atlanta,Truist Park,"32,328",2023,-84.3903,33.7569
WOODZ,12/8/23,Atlanta,Gas South Arena,,2023,-84.3903,33.7569
ARTMS,8/19/24,Atlanta, Tabernacle ,,2024,-84.3903,33.7569
BM,5/23/24,Atlanta,The Eastern,,2024,-84.3903,33.7569
CIX,5/19/24,Atlanta, Variety Playhouse ,,2024,-84.3903,33.7569
Dreamcatcher,11/24/24,Atlanta,Coca-Cola Roxy,,2024,-84.3903,33.7569
Itzy,6/18/24,Atlanta,Fox Theatre Atlanta,,2024,-84.3903,33.7569
IU,7/19/24,Atlanta,State Farm Arena,"12,947",2024,-84.3903,33.7569
IVE,3/24/24,Atlanta,State Farm Arena,"7,154",2024,-84.3903,33.7569
Kiss Of Life,11/24/24,Atlanta,The Eastern,,2024,-84.3903,33.7569
MCND,2/13/24,Atlanta,Variety Playhouse,,2024,-84.3903,33.7569
P1Harmony,6/1/24,Atlanta,Fox Theatre Atlanta,,2024,-84.3903,33.7569
THE BOYZ,7/21/24,Atlanta,Fox Theater,,2024,-84.3903,33.7569
TXT,5/29/24,Atlanta,State Farm Arena,"10,072",2024,-84.3903,33.7569
XG,10/16/24,Atlanta,Gas South Arena,,2024,-84.3903,33.7569
P1Harmony,2/14/23,"Austin, Texas",ACL Live,,2023,-97.7333,30.3
PIXY,4/15/23,"Austin, Texas",The Venue,,2023,-97.7333,30.3
Suga,4/26/23,"Belmont Park, Colwood",UBS Arena,"29,414",2023,-123.467,48.4361
Suga,4/27/23,"Belmont Park, Colwood",UBS Arena,,2023,-123.467,48.4361
TXT,5/9/23,"Belmont Park, Colwood",UBS Arena,"22,506",2023,-123.467,48.4361
TXT,5/10/23,"Belmont Park, Colwood",UBS Arena,,2023,-123.467,48.4361
(G)IDLE,9/18/24,"Belmont Park, Colwood",UBS Arena,,2024,-123.467,48.4361
ENHYPEN,5/3/24,"Belmont Park, Colwood",UBS Arena,"12,224",2024,-123.467,48.4361
NCT Dream,9/21/24,"Belmont Park, Colwood",UBS Arena,,2024,-123.467,48.4361
Billlie,12/12/24,"Berkeley, California", The UC Theatre ,,2024,-122.2681,37.8703
ONEUS,3/12/22,"Beverly Hills, California",Saban Theatre,,2022,-118.3994,34.0731
Tiffany,11/8/19,Boston,Paradise Rock Club,,2019,-71.0578,42.3603
Itzy,11/10/22,Boston,MGM Music Hall,,2022,-71.0578,42.3603
Aespa,9/2/23,Boston,MGM Music Hall,,2023,-71.0578,42.3603
Kang Daniel,3/4/23,Boston,Royale,,2023,-71.0578,42.3603
PIXY,5/2/23,Boston,Middle East,,2023,-71.0578,42.3603
TRI.BE,6/13/23,Boston,Regent Theatre,,2023,-71.0578,42.3603
Kiss Of Life,11/16/24,Boston,Orpheum Theatre,,2024,-71.0578,42.3603
Loossemble,10/11/24,Boston,Orpheum Theatre,,2024,-71.0578,42.3603
Moonbyul,11/27/24,Boston, Strand Theatre ,,2024,-71.0578,42.3603
P1Harmony,5/26/24,Boston,Boch Center Wang Theatre,,2024,-71.0578,42.3603
DKB,6/10/22,Brooklyn,Brooklyn Monarch,,2022,-73.9903,40.6928
KARD,8/12/22,Brooklyn,Kings Theatre,,2022,-73.9903,40.6928
Aespa,9/5/23,Brooklyn,Barclays Center,,2023,-73.9903,40.6928
NMIXX,5/16/23,Brooklyn,Kings Theatre,,2023,-73.9903,40.6928
Whee In,6/4/24,Brooklyn,Brooklyn Paramount,,2024,-73.9903,40.6928
TXT,5/6/23,"Charlotte, North Carolina",Spectrum Center,"12,662",2023,-80.8433,35.2269
Moonbyul,11/21/24,"Charlotte, North Carolina",Dale F. Halton Theater,,2024,-80.8433,35.2269
ENHYPEN,10/13/22,Chicago,Wintrust Area,"5,961",2022,-87.6501,41.85
TXT,7/7/22,Chicago,Rosemont Theatre,"4,340",2022,-87.6501,41.85
Amber,12/5/18,Chicago,Park West,,2018,-87.6501,41.85
BTS,10/2/18,Chicago,United Center,"27,880",2018,-87.6501,41.85
BTS,10/3/18,Chicago,United Center,"27,880",2018,-87.6501,41.85
Wanna One,6/29/18,Chicago,AllState Arena,,2018,-87.6501,41.85
ATEEZ,3/20/19,Chicago,Park West,,2019,-87.6501,41.85
BLACKPINK,4/24/19,Chicago,AllState Arena,"11,417",2019,-87.6501,41.85
BTS,5/11/19,Chicago,Soldier Field,"88,156",2019,-87.6501,41.85
BTS,5/12/19,Chicago,Soldier Field,,2019,-87.6501,41.85
Dreamcatcher,12/8/19,Chicago,Concord Music Hall,,2019,-87.6501,41.85
Jay Park,11/24/19,Chicago,Riviera Theatre,,2019,-87.6501,41.85
ONEUS,11/6/19,Chicago,The Vix,,2019,-87.6501,41.85
Red Velvet,2/15/19,Chicago,Chicago Theatre,"3,453",2019,-87.6501,41.85
